Class,Comment,Intent,Responsibilities,Collaborators,Key messages,Key implementation points,Instance variables,ReferenceToOtherResources,Subclasses Explanation,Class references,Example,Todo comments,Naming convention,Coding guidlines,Warnings,Discourse,Links,Extensions,Recommendations,Observations,Preconditions,Dependencies,License/copyright ,Other
IceTipBrowser,"I'm a base tool for iceberg Tip-UI.
  My children will implement real tools, but I provide certain common elements.
  
  Some remarks about design:
  
  1. Each tool has to have ONE model as entry point for data, and JUST ONE. It will be contained
  in #model accessor.",I'm a base tool for iceberg Tip-UI.,"My children will implement real tools, but I provide certain common elements.",,,,,,,,,,,,"Some remarks about design:
  
  1. Each tool has to have ONE model as entry point for data, and JUST ONE. It will be contained
  in #model accessor.",,,,,,,,,
ShSuperclassChangedDetector,I detect if there is a change in the superclass,,I detect if there is a change in the superclass,I detect if there is a change in the superclass,,,,,,,,,,,,,,,,,,,,
IceTipItemPosition,"I'm a position in a toolbar.
  My children define where IceTipToolbarItem instance will be located.",I'm a position in a toolbar.,,My children define where IceTipToolbarItem instance will be located.,,,,,,,,,,,,,,,,,,,,
RFSenderReification,I reify the sender for message sends and methods,,I reify the sender for message sends and methods,,,,,,,,,,,,,,,,,,,,,
RBCommentNodeVisitor,"Visit any RBCommentNode in the syntax tree and evaluate a generic block.
  
  The block has two optional parameters:
  aCommentArray (the collection of 1 or more RBComment's)
  aNode (the node which containts the comment)",,Visit any RBCommentNode in the syntax tree and evaluate a generic block.,Visit any RBCommentNode in the syntax tree and evaluate a generic block.,,,"The block has two optional parameters:
  aCommentArray (the collection of 1 or more RBComment's)
  aNode (the node which containts the comment)",,,Visit any RBCommentNode in the syntax tree and evaluate a generic block.,,,,,,,,,,,,,,
BlChicken,"How to run:


==BlChicken open==",,,,,,,,,,"How to run:


==BlChicken open==",,,,,,,,,,,,,
SpUserFontSource,I represent a font face source and know how to retrieve font contents from it,I represent a font face source,and know how to retrieve font contents from it,,,,,,,,,,,,,,,,,,,,,
MooseVisualLocator,The MooseVisualLocator is a simple template that offers a list of classes on the left hand side and some presentation on the right hand side. It is meant to be subclassed.,The MooseVisualLocator is a simple template,that offers a list of classes on the left hand side and some presentation on the right hand side.,,,It is meant to be subclassed.,,,,,,,,,,,,,,,,,,
WAMemoryToolPlugin,I display the memory usage tool.,,I display the memory usage tool.,,,,,,,,,,,,,,,,,,,,,
FamixGenerator,"| g |
g := FamixGenerator new.
g generateWithoutCleaning.
FamixCompatibilityGenerator resetMetamodel.",,,,,,,,,,"| g |
g := FamixGenerator new.
g generateWithoutCleaning.
FamixCompatibilityGenerator resetMetamodel.",,,,,,,,,,,,,
PRParseWarning,I am a warning for the parse of a Pillar file.,I am a warning for the parse of a Pillar file.,,,,,,,,,,,,,,,,,,,,,,
GtDiagrammerPicker,"I am a scriptable toogle group to display a uniform collection of selectable values.

[[[
| picker |
picker := GtDiagrammerPicker new.
picker layout: BlFlowLayout horizontal.
picker display: [ { 'Hello' . 'World' . 'I' . 'am' . 'a' . 'picker' } ].
picker shape: [ :aString | BrToggle new
 look: BrMaterialToggleLabelledLook;
 margin: (BlInsets all: 3);
 label: aString ].
picker constraintsDo: [ :c |
 c horizontal exact: 400.
 c vertical fitContent ].
picker when: BrToggleActivatedEvent do: [ :anEvent | self inform: anEvent model ].
picker
]]]",I am a scriptable toogle group to display a uniform collection of selectable values.,,,,,,,,,"[[[
| picker |
picker := GtDiagrammerPicker new.
picker layout: BlFlowLayout horizontal.
picker display: [ { 'Hello' . 'World' . 'I' . 'am' . 'a' . 'picker' } ].
picker shape: [ :aString | BrToggle new
 look: BrMaterialToggleLabelledLook;
 margin: (BlInsets all: 3);
 label: aString ].
picker constraintsDo: [ :c |
 c horizontal exact: 400.
 c vertical fitContent ].
picker when: BrToggleActivatedEvent do: [ :anEvent | self inform: anEvent model ].
picker
]]]",,,,,,,,,,,,,
PMExponentialGenerator,"A PMExponentialGenerator uses a uniform random variable in [0,1] to sample from an exponential distribution.

The exponential distribution has a single parameter beta, here denoted as mean. 

The default RandomGenerator is PMRandom, but can be modified.

The next method uses the formula:

x= - \beta * ln (1 - u)

to generate an exponential sample x from a uniform [0,1] sample u.

(Applied Statistics 3rd ed., Ledolter and Hogg, p. 185)","""A PMExponentialGenerator uses a uniform random variable in [0,1] to sample from an exponential distribution.","The exponential distribution has a single parameter beta, here denoted as mean.",,"The default RandomGenerator is PMRandom, but can be modified.","The next method uses the formula:

x= - \beta * ln (1 - u)

to generate an exponential sample x from a uniform [0,1] sample u.",,"(Applied Statistics 3rd ed., Ledolter and Hogg, p. 185)""",,,,,,,,,,,,,,,,
PPXPathFilter,"I'm a node filter. 
A xpath node applies me to filter xml elements.",I'm a node filter.,A xpath node applies me to filter xml elements.,,,,,,,,,,,,,,,,,,,,,
MalKruskal,"Kruskal's algorithm is a greedy algorithm in graph theory that finds a minimum spanning tree for a connected weighted graph. This means it finds a subset of the edges that forms a tree that includes every vertex, where the total weight of all the edges in the tree is minimized. If the graph is not connected, then it finds a minimum spanning forest (a minimum spanning tree for each connected component).

See https://en.wikipedia.org/wiki/Kruskal%27s_algorithm",,"Kruskal's algorithm is a greedy algorithm in graph theory that finds a minimum spanning tree for a connected weighted graph. This means it finds a subset of the edges that forms a tree that includes every vertex, where the total weight of all the edges in the tree is minimized. If the graph is not connected, then it finds a minimum spanning forest (a minimum spanning tree for each connected component).",,,,,See https://en.wikipedia.org/wiki/Kruskal%27s_algorithm,,,,,,,,,See https://en.wikipedia.org/wiki/Kruskal%27s_algorithm,,,,,,,
BlElementEffect,"I am the abstract root class for effects.
I define the default drawing strategy (before & after).
My subclasses can be composed as a chain of effects.
I can influence the bounds of my owner (used to clip my owner).",I am the abstract root class for effects.,"I define the default drawing strategy (before & after).
I can influence the bounds of my owner (used to clip my owner).",,,,,,My subclasses can be composed as a chain of effects.,,,,,,,,,,,,,,,
WABulkReapingCache,"I am a cache that reaps all elements at once instead of incrementally.

I am intended to be used in GemStone/S instead of WAHashCache. A background process should send #reap to me.

 Instance Variables
 dictionary: <Dictionary>",I am a cache that reaps all elements at once instead of incrementally.,,I am intended to be used in GemStone/S instead of WAHashCache. A background process should send #reap to me.,,,"Instance Variables
 dictionary: <Dictionary>",,,WAHashCache,,,,,,,,,,,A background process should send #reap to me.,,,
MooseCustomTask,"MooseCustomTask is a task perform some computation specified as a block.

The main API is then

 with: aBlock description: aDescription length: aNumber",MooseCustomTask is a task perform some computation specified as a block.,,,"The main API is then

 with: aBlock description: aDescription length: aNumber",,,,,,,,,,,,,,,,,,,
BlDevScripterCheckFiredEventsStep,"I check whether particular ${class:BlEvent}$ events were fired on a ${class:BlElement}$ target.

!! Example

Here you can see how to configure a fire and check a click event on a child element:
${example:BlDevScripterExamples>>#clickCheck|previewExpanded=true|previewHeight=400}$",,I check whether particular ${class:BlEvent}$ events were fired on a ${class:BlElement}$ target.,,,,,,,,"!! Example

Here you can see how to configure a fire and check a click event on a child element:
${example:BlDevScripterExamples>>#clickCheck|previewExpanded=true|previewHeight=400}$",,,,,,,,,,,,,
WAErrorHandler,"WAErrorHandler catches Errors and Warnings and provides two methods for handling each type of exception:

handleError:
handleWarning:

If either method is not implemented, the default implementation will call #handleDefault:, which can be used to provide common behaviour for both exception types.",,WAErrorHandler catches Errors and Warnings and provides two methods for handling each type of exception:,WAErrorHandler catches Errors and Warnings and provides two methods for handling each type of exception:,"handleError:
handleWarning:","If either method is not implemented, the default implementation will call #handleDefault:, which can be used to provide common behaviour for both exception types.",,,,"Error
Warning",,,,,"If either method is not implemented, the default implementation will call #handleDefault:, which can be used to provide common behaviour for both exception types.",,,,,,,,,
PPInfo,"A PPInfo represent the informations around a parsing result and also contain this result. It is usefull to get parsing evaluation and stream position.

Instance Variables
 element: <Object>
 start: <Object>
 stop: <Object>

element
 - xxxxx

start
 - xxxxx

stop
 - xxxxx",A PPInfo represent the informations around a parsing result and also contain this result,It is usefull to get parsing evaluation and stream position.,,,,"Instance Variables
 element: <Object>
 start: <Object>
 stop: <Object>

element
 - xxxxx

start
 - xxxxx

stop
 - xxxxx",,,,,,,,,,,,,,,,,
BlKeyCombinationConverterCNF,I transform composite key combination formula into a CNF (https://en.wikipedia.org/wiki/Conjunctive_normal_form),,I transform composite key combination formula into a CNF (https://en.wikipedia.org/wiki/Conjunctive_normal_form),,I transform composite key combination formula into a CNF (https://en.wikipedia.org/wiki/Conjunctive_normal_form),,,I transform composite key combination formula into a CNF (https://en.wikipedia.org/wiki/Conjunctive_normal_form),,,,,,,,,(https://en.wikipedia.org/wiki/Conjunctive_normal_form),,,,,,,
BlUniverseEventsCleared,Emitted when all of the event loop's events have been processed and control flow is about to be taken away from the Universe.,,Emitted when all of the event loop's events have been processed and control flow is about to be taken away from the Universe.,,,,,,,,,,,,,,,,,,Emitted when all of the event loop's events have been processed and control flow is about to be taken away from the Universe.,,,
BlChildrenOrderedCollectionExamples,"I define examples for the class ${class:BlChildrenOrderedCollection}$.

Instances of ${class:BlChildrenOrderedCollection}$ are created by directly instatiating the class.
${example:BlChildrenOrderedCollectionExamples>>#emptyChildrenExplicitCreation}$

Bloc elements can then be added and removed from the collection.
${example:BlChildrenOrderedCollectionExamples>>#add}$

${example:BlChildrenOrderedCollectionExamples>>#remove}$",,I define examples for the class ${class:BlChildrenOrderedCollection}$.,,,,"Instances of ${class:BlChildrenOrderedCollection}$ are created by directly instatiating the class.
${example:BlChildrenOrderedCollectionExamples>>#emptyChildrenExplicitCreation}$",,,,"Bloc elements can then be added and removed from the collection
Bloc elements can then be added and removed from the collection.
${example:BlChildrenOrderedCollectionExamples>>#add}$

${example:BlChildrenOrderedCollectionExamples>>#remove}$",,,,,,,,,,,,,
TSpartaCompositeFilter,"I am a composite filter and can have an arbitrary amount of input soures

https://www.w3.org/TR/SVG/filters.html#feCompositeElement

Example:

 ""Merge"" filter primitive is just a composite filter with OVER composion mode.

 merge := canvas compositeFilter
 over;
 source: filter1;
 source:filter2;
 source: filter3;
 source: filter4
 ...",I am a composite filter and can have an arbitrary amount of input soures,,,,,,https://www.w3.org/TR/SVG/filters.html#feCompositeElement,,,"Example:

 ""Merge"" filter primitive is just a composite filter with OVER composion mode.

 merge := canvas compositeFilter
 over;
 source: filter1;
 source:filter2;
 source: filter3;
 source: filter4
 ...",,,,,,https://www.w3.org/TR/SVG/filters.html#feCompositeElement,,,,,,,
GtPhlowForwarderView,"I forward a view definition to another object.
I am useful in situations when the object that has the view definition is expensive to create.
I am also useful in situtions, when the object is created only for the purpose of the view.

I create the object only if someone clicks on my tab (view).

!! Important

${method:GtPhlowView>>#title}$ and ${method:GtPhlowView>>#priority}$ are not taken from the original view. If that were the case, the advantage of the solution would be lost since the title and priority are necessary to build the view tab using the title and priority.

!! Example

You can define me as follow: ${method:GtPhlowViewExamples>>#gtForwardedViewFor:|expanded=true}$",,"I forward a view definition to another object.
I am useful in situations when the object that has the view definition is expensive to create.
I am also useful in situtions, when the object is created only for the purpose of the view.

I create the object only if someone clicks on my tab (view).",,,,,,,,"!! Example

You can define me as follow: ${method:GtPhlowViewExamples>>#gtForwardedViewFor:|expanded=true}$",,,,"!! Important

${method:GtPhlowView>>#title}$ and ${method:GtPhlowView>>#priority}$ are not taken from the original view. If that were the case, the advantage of the solution would be lost since the title and priority are necessary to build the view tab using the title and priority.",,,,,,,,,
BrPagerPageResizerElement,I am the element with which a pager page can be resized horizontally.,I am the element with which a pager page can be resized horizontally.,,I am the element with which a pager page can be resized horizontally.,,,,,,,,,,,,,,,,,,,,
PMLineSearch,"I implement line search algorithm to find the minimum of a function g(x) >= 0 on the interval 0 < x < 1.
The method is initialized by g(0), g(1) and g'(0).
The step from x = 0 to x = 1 suppose to minimize g(x) (i.e. g'(0) < 0), but due to nonlinearity of g(x) might fail to do so.
In this case, this method finds such an x that this function is minimized in the sense:

g(x) <= g(0) + alpha g'(0)

for some small alpha (defaults to 1e-4).

Usage

For once off use: 

 (PMLineSearch function: funBlock valueAtZero: g0 derivativeAtZero: dg0 valueAtOne: g1 ) evaluate.

where funBlock is the implementation of g(x), g0 = g(0), dg0 = g'(0) and g1 = g(0).

For repeated use:

 storedMethod := DhbLineSearch new.
 storedMethod setFunction: funBlock.
 storedMethod setValueAtZero: g0 derivativeAtZero: dg0 valueAtOne: g1.
 storedMethod evaluate. 
 
!!! Optimization tip!!!

It is guaranteed that g(x) will be called on the resulting x.

See DhbNewtonZeroFinder (PMNewtonZeroFinder) that uses this to minimize the number of function evaluations.","""I implement line search algorithm to find the minimum of a function g(x) >= 0 on the interval 0 < x < 1.","""I implement line search algorithm to find the minimum of a function g(x) >= 0 on the interval 0 < x < 1.
The method is initialized by g(0), g(1) and g'(0).",,,"The step from x = 0 to x = 1 suppose to minimize g(x) (i.e. g'(0) < 0), but due to nonlinearity of g(x) might fail to do so.
In this case, this method finds such an x that this function is minimized in the sense:

g(x) <= g(0) + alpha g'(0)

for some small alpha (defaults to 1e-4).

!!! Optimization tip!!!

It is guaranteed that g(x) will be called on the resulting x.

See DhbNewtonZeroFinder (PMNewtonZeroFinder) that uses this to minimize the number of function evaluations.""",,"See DhbNewtonZeroFinder (PMNewtonZeroFinder) that uses this to minimize the number of function evaluations.""",,,"Usage

For once off use: 

 (PMLineSearch function: funBlock valueAtZero: g0 derivativeAtZero: dg0 valueAtOne: g1 ) evaluate.

where funBlock is the implementation of g(x), g0 = g(0), dg0 = g'(0) and g1 = g(0).

For repeated use:

 storedMethod := DhbLineSearch new.
 storedMethod setFunction: funBlock.
 storedMethod setValueAtZero: g0 derivativeAtZero: dg0 valueAtOne: g1.
 storedMethod evaluate.",,,,,,,,,,,,,
PMAM3Stepper,"It is stepper for Adams - Moulton method of order 3.
An s-step Adams - Moulton method can reach order s+1.
We can't use AM3 method until we have old solution value and approximate new one. A AM3 method is implicit.",It is stepper for Adams - Moulton method of order 3.,"An s-step Adams - Moulton method can reach order s+1. 
A AM3 method is implicit.",,,,,,,,,,,,We can't use AM3 method until we have old solution value and approximate new one.,,,,,,We can't use AM3 method until we have old solution value and approximate new one.,,,
WAPainterVisitor,An implementation of the Visitor pattern for Painter subclasses.,An implementation of the Visitor pattern for Painter subclasses.,An implementation of the Visitor pattern for Painter subclasses.,An implementation of the Visitor pattern for Painter subclasses.,,,,,An implementation of the Visitor pattern for Painter subclasses.,,,,,,,,,,,,,,,
PRInputFileAnnotation,"I include a reference to a pillar file. With me we can add a transformation to remplace an annotation to a pillar file by his tree.

My tag is: 'inputFile''.

I can have in parameter:
- a path to a file with the key ""value="" (required, you can write it without the key)

Examples: 

${inputFile:myFile.pillar}$

${inputFile:value=directory/myFile.pillar}$",,"I include a reference to a pillar file.
With me we can add a transformation to remplace an annotation to a pillar file by his tree.",,"My tag is: 'inputFile''.

I can have in parameter:
- a path to a file with the key ""value="" (required, you can write it without the key)",,,,,,"Examples: 

${inputFile:myFile.pillar}$

${inputFile:value=directory/myFile.pillar}$",,,,,,,,,,,,,
BlTime,"I encapsulate a concept of time and play a role of a time provider for Animations or other parts of the system that compute durations or how much time passed since some action.

Bloc components must not directly rely on system time or hardcode it in any place because it prevents us from simulating spaces. The use of me makes system exemplifiable",,I encapsulate a concept of time and play a role of a time provider for Animations or other parts of the system that compute durations or how much time passed since some action.,I encapsulate a concept of time and play a role of a time provider for Animations or other parts of the system that compute durations or how much time passed since some action.,,,,,,Animations,,,,,Bloc components must not directly rely on system time or hardcode it in any place because it prevents us from simulating spaces. The use of me makes system exemplifiable,,,,,,,,,
GtConnectorButtonAddedEvent,Is sent after button is added to the scene graph,,Is sent after button is added to the scene graph,,,,,,,,,,,,,,,,,,,,,
BlDragDelegate,"Drag delegate provides drag items when a visual element lifts.
Drag gesture fails if there are no drag items",,"Drag delegate provides drag items when a visual element lifts.
Drag gesture fails if there are no drag items",,,,,,,,,,,,,,,,,,,,,
BrPagerPagePreviewResizeListener,I update the size of a page preview element in a scroll bar according to the size of a corresponding page,,I update the size of a page preview element in a scroll bar according to the size of a corresponding page,,,,,,,,,,,,,,,,,,,,,
PPParserReplaceRule,"PPParserReplaceRule replaces a matched grammar with another grammar, which may include patterns from the matching grammar.

Instance Variables:
 replaceParser <PPParser> The parser to replace the matched parser with.",,"PPParserReplaceRule replaces a matched grammar with another grammar, which may include patterns from the matching grammar.",,,,"Instance Variables:
 replaceParser <PPParser> The parser to replace the matched parser with.",,,,,,,,,,,,,,,,,
PMAdditionalTest,"here are tests that would be in Math-Tests-DHB-Numerical, if it could construct random matrices",,"here are tests that would be in Math-Tests-DHB-Numerical, if it could construct random matrices",,,,,,,,,,,,,,,,,,,,,
GtDiagrammerArrowheadFilledTriangleStencil,I create a filled triangle arrowhead,,I create a filled triangle arrowhead,,,,,,,,,,,,,,,,,,,,,
BlMouseMoveEvent,"The mouse move event is fired when a pointing device (usually a mouse) is moved while over an element.

https://developer.mozilla.org/en-US/docs/Web/Events/mousemove",,,The mouse move event is fired when a pointing device (usually a mouse) is moved while over an element.,,,,https://developer.mozilla.org/en-US/docs/Web/Events/mousemove,,,,,,,,,https://developer.mozilla.org/en-US/docs/Web/Events/mousemove,,,,,,,
BlScalableFitWidthStrategy,"I make sure that content element fits horizontally within scalable element.

It makes sense to use me if scalable element has fixed or matching parent horizontal size but fits content vertically.",,I make sure that content element fits horizontally within scalable element.,,,,,,,,,,,,,,,,It makes sense to use me if scalable element has fixed or matching parent horizontal size but fits content vertically.,,,,,
GtRlBaselineTagReleaseStrategy,"I am a release strategy that uses the current loaded tag for a repository as the version number.

I indicate a passive release as no actions need to be executed. The version number already exists in the repository.
I should only be used for repositories that have no child repositories or when all child repositories also use this strategy, as I hardcode an existing tag.
As I am passive I do not export any metadata. Even if the repository has child repositories there will be no metadata exported. Because of this I do not use metadata to check previous versions (it is not reliable).

I am a valid release strategy only when all Monticello baselines that load this project use the same tag to load it. 
See ${method:GtRlBaselineTagReleaseStrategy>>#assertCompatibleWithRepository:}$ for assertions that check when I can be used.","""I am a release strategy that uses the current loaded tag for a repository as the version number.","""I am a release strategy that uses the current loaded tag for a repository as the version number.

I indicate a passive release as no actions need to be executed. The version number already exists in the repository.",,,As I am passive I do not export any metadata. Even if the repository has child repositories there will be no metadata exported. Because of this I do not use metadata to check previous versions (it is not reliable).,,,,,"I am a valid release strategy only when all Monticello baselines that load this project use the same tag to load it. 
See ${method:GtRlBaselineTagReleaseStrategy>>#assertCompatibleWithRepository:}$ for assertio",,,,,,,,"I should only be used for repositories that have no child repositories or when all child repositories also use this strategy, as I hardcode an existing tag.",,,,,
MooseAbstractImporter,"I'm the root for the new importer.
This way my subclasses share error logging and importerContext",I'm the root for the new importer.,,,,,,,This way my subclasses share error logging and importerContext,,,,,,,,,,,,,,,
RTLabeled,"A RTLabeled adds a label above an element. The label may be particularized using #text: in the default string representation is not sufficient. Consider:

E.g., 
v := RTView new.
e := (RTEllipse new size: 30) elementOn: 42.
v add: e.
e @ (RTLabeled new text: [ :value | 'My value is ', value asString ]).
v

Instance Variables
 canvas: <Object>
 color: <Object>
 highlightable: <Object>
 lowColor: <Object>
 offsetOnEdge: <Object>
 position: <Object>
 text: <Object>

canvas
 - xxxxx

color
 - xxxxx

highlightable
 - xxxxx

lowColor
 - xxxxx

offsetOnEdge
 - xxxxx

position
 - xxxxx

text
 - xxxxx",,"""A RTLabeled adds a label above an element. The label may be particularized using #text: in the default string representation is not sufficient. Consider:",,"canvas
 - xxxxx

color
 - xxxxx

highlightable
 - xxxxx

lowColor
 - xxxxx

offsetOnEdge
 - xxxxx

position
 - xxxxx

text
 - xxxxx""",,"Instance Variables
 canvas: <Object>
 color: <Object>
 highlightable: <Object>
 lowColor: <Object>
 offsetOnEdge: <Object>
 position: <Object>
 text: <Object>

canvas
 - xxxxx

color
 - xxxxx

highlightable
 - xxxxx

lowColor
 - xxxxx

offsetOnEdge
 - xxxxx

position
 - xxxxx

text
 - xxxxx""",,,,"E.g., 
v := RTView new.
e := (RTEllipse new size: 30) elementOn: 42.
v add: e.
e @ (RTLabeled new text: [ :value | 'My value is ', value asString ]).
v",,,,,,,,,,,,,
MalBreadthFirstSearchPath,"Breadth-first search (BFS) is an algorithm for traversing or searching tree or graph data structures. It starts at the tree root (or some arbitrary node of a graph, sometimes referred to as a `search key') and explores the neighbor nodes first, before moving to the next level neighbours. (source: Wikipedia)",Breadth-first search (BFS) is an algorithm for traversing or searching tree or graph data structures.,"Breadth-first search (BFS) is an algorithm for traversing or searching tree or graph data structures. It starts at the tree root (or some arbitrary node of a graph, sometimes referred to as a `search key') and explores the neighbor nodes first, before moving to the next level neighbours.",,,,,(source: Wikipedia),,,,,,,,,,,,,,,,
MalHgNode,"A MalHgNode is a node inside a hierarchical graph. It knows the graph it belongs to, its children and its parent, on which level in the graph it resides and its outgoing ind incoming edges. One can also store arbitrary informaition as attributes to a node.

Instance Variables
 attributes: <Dictionary>
 children: <OrderedCollection>
 hiGraph: <MalHierarchicalGraph>
 incoming: <OrderedCollection>
 level: <Number>
 outgoing: <OrderedCollection>
 parent: <MalHgNode>

attributes
 - Dictionary to attach arbitrary information to a node

children
 - This nodes children. Empty collection if the node is a leaf in the hierarchy.

hiGraph
 - The MalHierarchicalGraph this node belongs to.

incoming
 - All incoming edges to this node.

level
 - The level this node is on in the hierachy where 0 is the top level (root nodes). The larger the number, the deeper down in the hierarchy the node is located.

outgoing
 - All outgoing edges from this node.

parent
 - This nodes parent",A MalHgNode is a node inside a hierarchical graph.,"It knows the graph it belongs to, its children and its parent, on which level in the graph it resides and its outgoing ind incoming edges. One can also store arbitrary informaition as attributes to a node.",,"attributes
 - Dictionary to attach arbitrary information to a node

children
 - This nodes children. Empty collection if the node is a leaf in the hierarchy.

hiGraph
 - The MalHierarchicalGraph this node belongs to.

incoming
 - All incoming edges to this node.

level
 - The level this node is on in the hierachy where 0 is the top level (root nodes). The larger the number, the deeper down in the hierarchy the node is located.

outgoing
 - All outgoing edges from this node.

parent
 - This nodes parent",,"Instance Variables
 attributes: <Dictionary>
 children: <OrderedCollection>
 hiGraph: <MalHierarchicalGraph>
 incoming: <OrderedCollection>
 level: <Number>
 outgoing: <OrderedCollection>
 parent: <MalHgNode>",,"It knows the graph it belongs to, its children and its parent, on which level in the graph it resides and its outgoing ind incoming edges",,,,,,,,,,,,,,,
BrMaterialToggleBackgroundLook,I describe how background of a material toggle button changes due to toggle events,,I describe how background of a material toggle button changes due to toggle events,,,,,,,,,,,,,,,,,,,,,
BlPerpendicularFractionAnchor,"I am a virtual anchor that lays on a perpendicular to a line between two reference anchors.

The curvature - distance from the line connecting reference anchors is defined as a fraction (curvatureFraction) of a length between anchors.",I am a virtual anchor that lays on a perpendicular to a line between two reference anchors.,I am a virtual anchor that lays on a perpendicular to a line between two reference anchors.,,,The curvature - distance from the line connecting reference anchors is defined as a fraction (curvatureFraction) of a length between anchors.,,,,,,,,,,,,,,,,,,
RTHighlightableWithCursor,"Highlight to indicates that some interaction be can done. It changes the cursor aspect

E.g.,

-=-=-=
| b |
b := RTUMLClassBuilder new
 instanceVariables: #instVarNames;
 methodselector: #selector;
 methodsNames: #rtmethods;
 attributeselector: #yourself.
b attributeShape color: Color black.
b methodShape color: Color black.
b classNameShape color: Color black.
b lineShape color: Color black.
b boxShape borderColor: Color black.

b addObjects: (Collection withAllSubclasses ).
b layout tree.

b build.

b view elements @ RTHighlightableWithCursor.
^b view
-=-=-=

-=-=-=
b := RTMondrian new.
b shape circle size: 10.
b interaction showEdge 
 connectToAll: #subclasses.

b interaction showLabel 
 highlightObjects: #subclasses.
 

nodes := b nodes: (Collection withAllSubclasses).
nodes @ RTHighlightableWithCursor.
b edges moveBehind; connectFrom: #superclass.
b layout radial.
b
-=-=-=",,Highlight to indicates that some interaction be can done,It changes the cursor aspect,,,,,,,"E.g.,

-=-=-=
| b |
b := RTUMLClassBuilder new
 instanceVariables: #instVarNames;
 methodselector: #selector;
 methodsNames: #rtmethods;
 attributeselector: #yourself.
b attributeShape color: Color black.
b methodShape color: Color black.
b classNameShape color: Color black.
b lineShape color: Color black.
b boxShape borderColor: Color black.

b addObjects: (Collection withAllSubclasses ).
b layout tree.

b build.

b view elements @ RTHighlightableWithCursor.
^b view
-=-=-=

-=-=-=
b := RTMondrian new.
b shape circle size: 10.
b interaction showEdge 
 connectToAll: #subclasses.

b interaction showLabel 
 highlightObjects: #subclasses.
 

nodes := b nodes: (Collection withAllSubclasses).
nodes @ RTHighlightableWithCursor.
b edges moveBehind; connectFrom: #superclass.
b layout radial.
b
-=-=-=",,,,,,,,,,,,,
RTLinePathBuilder,An interpolator a way to create lines in SVG,,An interpolator a way to create lines in SVG,,,,,,,,,,,,,,,,,,,,,
WACancelButtonTag,Creates a Cancel submit button.,,Creates a Cancel submit button.,,,,,,,,,,,,,,,,,,,,,
BlGeometry,The geometry is used to define the geometry to be drawn and the interaction area.,,The geometry is used to define the geometry to be drawn and the interaction area.,The geometry is used to define the geometry to be drawn and the interaction area.,,,,,,,,,,,,,,,,,,,,
BlMouseProcessor,"I am an event processor.
I convert basic events to more complex events.
For example, i generate events like click, dbl click, drag&drop, ... from mouse down, mouse up, and mouse move events.

Mouse actions are blocked during drag",I am an event processor.,I convert basic events to more complex events.,I convert basic events to more complex events.,,,,,,,"For example, i generate events like click, dbl click, drag&drop, ... from mouse down, mouse up, and mouse move events.",,,,Mouse actions are blocked during drag,,,,,,,,,
Gt4XMLHighlightedToken,This class stores a highlight TextColor and 1-based start/end highlight positions.,,This class stores a highlight TextColor and 1-based start/end highlight positions.,,,1-based start/end highlight positions.,,,,TextColor,,,,,,,,,,,,,,
BlElementSelectionAcquiredEvent,"Is sent when element gets inside of mouse selection rectangle or when the overlapping rectangle formed by element's bounds and selection rectangle changes.

Text containing elements should react on this event and select a corresponding portion of text within selection rectangle",,,Is sent when element gets inside of mouse selection rectangle or when the overlapping rectangle formed by element's bounds and selection rectangle changes.,,,,,,,,,,,Text containing elements should react on this event and select a corresponding portion of text within selection rectangle,,,,,,Is sent when element gets inside of mouse selection rectangle or when the overlapping rectangle formed by element's bounds and selection rectangle changes.,,,
RTAxisRenderer,A RTAxisRenderer is a renderer for axis. It simply render in a view an axis configuration,A RTAxisRenderer is a renderer for axis.,It simply render in a view an axis configuration,A RTAxisRenderer is a renderer for axis. It simply render in a view an axis configuration,,,,,,,,,,,,,,,,,,,,
WAListAttribute,"WAListAttribute is an attribute that is restricted to a list of values. 

Instance Variables:
 options <Block> A block returning a list of possible values for the attribute",WAListAttribute is an attribute that is restricted to a list of values.,,,,,"Instance Variables:
 options <Block> A block returning a list of possible values for the attribute",,,,,,,,,,,,,,,,,
GtDiagrammerArrowheadFilledCircleStencil,I create a filled circle arrow head with the border and background equal to the color of the curve,,I create a filled circle arrow head with the border and background equal to the color of the curve,,,,,,,,,,,,,,,,,,,,,
PRParagraph,"I'm a paragraph of text containing text, line breaks or annotations.
I'm close to a latex or HTML paragraph. I do not contain complex structures such as lists, codeblocks.","I'm a paragraph of text containing text, line breaks or annotations.","I'm close to a latex or HTML paragraph. I do not contain complex structures such as lists, codeblocks.",,,,,,,,,,,,,,,,,,,,,
BlInfiniteExampleClassesDataSource,I am a data source of the collection of all classes in the image,I am a data source of the collection of all classes in the image,,I am a data source of the collection of all classes in the image,,,,,,,,,,,,,,,,,,,,
RTExploraBuilderTest,"A ROExploraBuilderTest is xxxxxxxxx.

Instance Variables
 builder: <Object>

builder
 - xxxxx",A ROExploraBuilderTest is xxxxxxxxx.,,,,,"Instance Variables
 builder: <Object>
builder
 - xxxxx",,,,,,,,,,,,,,,,,
